wavelength [nm],6.75_up,12.5_up
1430.000,-80.34,-79.15
1430.251,-80.13,-78.89
1430.502,-80.02,-78.53
1430.752,-79.99,-78.14
1431.003,-79.45,-78.11
1431.254,-79.16,-77.54
1431.505,-78.92,-77.47
1431.756,-78.19,-76.97
1432.006,-77.93,-76.37
1432.257,-77.79,-76.16
1432.508,-77.02,-75.79
1432.759,-76.7,-75.44
1433.009,-76.25,-75.1
1433.260,-75.9,-74.62
1433.511,-75.6,-74.5
1433.762,-75.25,-74.07
1434.013,-75.01,-73.96
1434.263,-74.61,-73.73
1434.514,-74.34,-73.5
1434.765,-74.16,-73.4
1435.016,-73.87,-73.16
1435.267,-73.77,-73.01
1435.517,-73.52,-72.95
1435.768,-73.47,-72.79
1436.019,-73.41,-72.66
1436.270,-73.21,-72.57
1436.520,-73.21,-72.43
1436.771,-73.19,-72.54
1437.022,-73.14,-72.33
1437.273,-73.1,-72.44
1437.524,-73.07,-72.39
1437.774,-73.15,-72.35
1438.025,-73.04,-72.42
1438.276,-73.0,-72.38
1438.527,-73.11,-72.5
1438.777,-72.94,-72.53
1439.028,-72.94,-72.49
1439.279,-73.02,-72.65
1439.530,-72.97,-72.64
1439.781,-73.12,-72.78
1440.031,-73.04,-72.77
1440.282,-73.11,-72.7
1440.533,-73.24,-72.89
1440.784,-73.29,-72.79
1441.035,-73.47,-72.82
1441.285,-73.47,-72.87
1441.536,-73.77,-72.98
1441.787,-74.1,-73.12
1442.038,-74.28,-73.2
1442.288,-74.59,-73.4
1442.539,-74.92,-73.74
1442.790,-75.51,-73.99
1443.041,-75.87,-74.44
1443.292,-76.46,-74.88
1443.542,-77.01,-75.3
1443.793,-77.33,-75.79
1444.044,-77.86,-76.22
1444.295,-78.26,-76.81
1444.546,-78.99,-77.41
1444.796,-79.39,-77.95
1445.047,-79.65,-78.34
1445.298,-80.08,-78.75
1445.549,-80.74,-79.14
1445.799,-80.58,-79.26
1446.050,-80.57,-79.51
1446.301,-80.61,-79.78
1446.552,-81.31,-79.74
1446.803,-81.18,-79.95
1447.053,-80.98,-79.86
1447.304,-81.13,-80.04
1447.555,-81.2,-80.05
1447.806,-81.7,-79.82
1448.056,-80.99,-79.9
1448.307,-81.44,-80.25
1448.558,-81.15,-80.03
1448.809,-81.34,-80.18
1449.060,-81.41,-79.88
1449.310,-81.6,-80.2
1449.561,-81.93,-80.13
1449.812,-81.67,-79.99
1450.063,-81.54,-80.4
1450.314,-81.81,-80.05
1450.564,-81.27,-80.18
1450.815,-81.64,-80.11
1451.066,-81.53,-80.34
1451.317,-81.29,-80.17
1451.567,-81.34,-80.55
1451.818,-81.38,-80.0
1452.069,-81.5,-80.27
1452.320,-81.39,-80.31
1452.571,-81.78,-80.07
1452.821,-81.69,-80.18
1453.072,-81.82,-80.25
1453.323,-81.36,-80.33
1453.574,-81.27,-80.19
1453.825,-81.38,-80.29
1454.075,-81.63,-79.93
1454.326,-81.47,-80.19
1454.577,-81.37,-80.41
1454.828,-81.27,-80.16
1455.078,-81.6,-79.96
1455.329,-81.93,-80.4
1455.580,-81.44,-80.42
1455.831,-81.46,-79.91
1456.082,-81.43,-80.06
1456.332,-81.39,-80.16
1456.583,-81.75,-79.92
1456.834,-81.68,-79.93
1457.085,-81.73,-79.76
1457.335,-81.39,-79.85
1457.586,-81.87,-79.99
1457.837,-81.12,-79.59
1458.088,-81.11,-80.04
1458.339,-80.47,-79.64
1458.589,-80.81,-79.29
1458.840,-81.27,-79.13
1459.091,-80.61,-78.86
1459.342,-80.26,-78.66
1459.593,-79.97,-78.39
1459.843,-79.38,-77.99
1460.094,-79.37,-77.97
1460.345,-79.13,-77.5
1460.596,-78.6,-77.21
1460.846,-78.21,-76.78
1461.097,-77.73,-76.59
1461.348,-77.43,-76.25
1461.599,-77.01,-75.77
1461.850,-76.72,-75.44
1462.100,-76.17,-75.17
1462.351,-75.92,-74.93
1462.602,-75.58,-74.76
1462.853,-75.27,-74.41
1463.103,-75.03,-74.32
1463.354,-74.73,-74.03
1463.605,-74.33,-73.8
1463.856,-74.19,-73.65
1464.107,-73.89,-73.51
1464.357,-73.69,-73.28
1464.608,-73.45,-73.13
1464.859,-73.4,-72.85
1465.110,-73.2,-72.83
1465.361,-72.87,-72.67
1465.611,-72.73,-72.5
1465.862,-72.62,-72.48
1466.113,-72.49,-72.26
1466.364,-72.43,-72.23
1466.614,-72.27,-72.27
1466.865,-72.21,-72.13
1467.116,-72.12,-72.11
1467.367,-71.96,-72.12
1467.618,-71.99,-72.16
1467.868,-71.89,-72.16
1468.119,-71.91,-72.18
1468.370,-71.95,-72.31
1468.621,-71.84,-72.25
1468.872,-71.86,-72.28
1469.122,-71.92,-72.38
1469.373,-71.85,-72.36
1469.624,-71.87,-72.4
1469.875,-71.83,-72.5
1470.125,-71.94,-72.48
1470.376,-72.09,-72.58
1470.627,-72.1,-72.65
1470.878,-72.35,-72.65
1471.129,-72.47,-72.84
1471.379,-72.55,-72.94
1471.630,-72.8,-73.22
1471.881,-72.78,-73.35
1472.132,-73.12,-73.61
1472.382,-73.27,-74.12
1472.633,-73.48,-74.29
1472.884,-73.68,-74.84
1473.135,-73.89,-75.37
1473.386,-74.21,-75.89
1473.636,-74.43,-76.7
1473.887,-74.85,-77.29
1474.138,-75.39,-77.97
1474.389,-76.14,-79.0
1474.640,-77.04,-79.12
1474.890,-78.04,-79.98
1475.141,-78.73,-80.09
1475.392,-79.47,-80.22
1475.643,-80.22,-80.39
1475.893,-80.96,-80.29
1476.144,-81.03,-80.55
1476.395,-81.54,-80.4
1476.646,-81.52,-80.36
1476.897,-81.59,-80.59
1477.147,-81.36,-80.31
1477.398,-81.96,-80.31
1477.649,-81.67,-80.43
1477.900,-81.44,-80.38
1478.151,-81.71,-80.45
1478.401,-81.35,-80.54
1478.652,-81.04,-80.23
1478.903,-81.13,-80.63
1479.154,-81.8,-80.73
1479.404,-81.29,-80.51
1479.655,-81.71,-80.67
1479.906,-81.71,-80.46
1480.157,-81.44,-80.46
1480.408,-81.91,-80.32
1480.658,-81.46,-80.45
1480.909,-81.61,-80.34
1481.160,-81.62,-80.17
1481.411,-81.76,-80.4
1481.661,-81.86,-80.18
1481.912,-82.13,-80.38
1482.163,-81.52,-80.11
1482.414,-81.68,-80.31
1482.665,-81.27,-79.99
1482.915,-81.4,-79.99
1483.166,-81.63,-79.91
1483.417,-81.15,-79.58
1483.668,-81.29,-79.59
1483.919,-81.09,-79.15
1484.169,-81.01,-79.38
1484.420,-80.43,-78.94
1484.671,-80.43,-78.97
1484.922,-80.25,-78.44
1485.172,-79.48,-78.29
1485.423,-79.46,-77.66
1485.674,-79.03,-77.52
1485.925,-78.67,-77.15
1486.176,-78.05,-76.73
1486.426,-77.87,-76.62
1486.677,-77.44,-76.19
1486.928,-77.2,-75.89
1487.179,-76.76,-75.45
1487.430,-76.29,-75.19
1487.680,-75.93,-74.89
1487.931,-75.65,-74.58
1488.182,-75.32,-74.37
1488.433,-75.16,-74.09
1488.683,-74.76,-73.85
1488.934,-74.49,-73.64
1489.185,-74.31,-73.48
1489.436,-74.06,-73.37
1489.687,-73.81,-73.14
1489.937,-73.58,-73.01
1490.188,-73.41,-72.92
1490.439,-73.24,-72.82
1490.690,-73.09,-72.7
1490.940,-72.89,-72.62
1491.191,-72.86,-72.58
1491.442,-72.7,-72.52
1491.693,-72.64,-72.5
1491.944,-72.58,-72.45
1492.194,-72.52,-72.41
1492.445,-72.49,-72.44
1492.696,-72.46,-72.35
1492.947,-72.44,-72.39
1493.198,-72.42,-72.38
1493.448,-72.4,-72.29
1493.699,-72.5,-72.37
1493.950,-72.43,-72.37
1494.201,-72.36,-72.39
1494.451,-72.32,-72.34
1494.702,-72.32,-72.36
1494.953,-72.28,-72.38
1495.204,-72.3,-72.36
1495.455,-72.37,-72.44
1495.705,-72.4,-72.34
1495.956,-72.4,-72.57
1496.207,-72.43,-72.44
1496.458,-72.55,-72.49
1496.709,-72.67,-72.63
1496.959,-72.71,-72.7
1497.210,-72.92,-72.8
1497.461,-73.12,-73.18
1497.712,-73.27,-73.49
1497.962,-73.53,-73.71
1498.213,-73.78,-74.14
1498.464,-74.05,-74.67
1498.715,-74.46,-75.13
1498.966,-74.71,-75.75
1499.216,-74.97,-76.23
1499.467,-75.55,-76.86
1499.718,-75.92,-77.34
1499.969,-76.02,-78.05
1500.219,-76.77,-78.67
1500.470,-77.34,-79.07
1500.721,-78.04,-79.54
1500.972,-78.63,-79.7
1501.223,-79.11,-79.77
1501.473,-79.82,-80.09
1501.724,-80.33,-80.11
1501.975,-80.44,-79.92
1502.226,-81.05,-80.08
1502.477,-80.98,-80.2
1502.727,-80.49,-80.16
1502.978,-81.32,-80.3
1503.229,-81.56,-80.21
1503.480,-81.48,-80.25
1503.730,-81.5,-80.13
1503.981,-81.09,-80.45
1504.232,-81.05,-80.15
1504.483,-81.1,-80.3
1504.734,-81.18,-80.16
1504.984,-81.01,-80.05
1505.235,-81.32,-80.19
1505.486,-81.04,-80.18
1505.737,-81.25,-80.49
1505.988,-81.1,-80.01
1506.238,-81.65,-80.36
1506.489,-81.31,-80.17
1506.740,-81.38,-80.16
1506.991,-81.34,-80.53
1507.241,-81.21,-80.33
1507.492,-81.25,-80.13
1507.743,-81.72,-79.99
1507.994,-81.17,-80.2
1508.245,-81.09,-80.04
1508.495,-81.06,-80.34
1508.746,-81.26,-80.46
1508.997,-81.06,-80.2
1509.248,-81.55,-80.19
1509.498,-81.43,-79.91
1509.749,-81.72,-80.5
1510.000,-81.68,-80.38
